state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
HI,8000,118,944000,66000,0.77,727000,1998
HI,8000,80,640000,32000,0.8,512000,1999
HI,7000,112,784000,125000,0.82,643000,2000
HI,8000,87,696000,84000,0.87,606000,2001
HI,7000,136,952000,29000,1.11,1057000,2002
HI,7000,114,798000,43000,1.45,1157000,2003
HI,8000,96,768000,77000,1.59,1221000,2004
HI,9000,131,1179000,283000,1.43,1686000,2005
HI,10000,93,930000,233000,1.21,1125000,2006
HI,10000,92,920000,285000,1.7,1564000,2007
HI,10000,90,9.00E+05,225000,1.59,1431000,2008
HI,10000,95,950000,323000,1.76,1672000,2009
HI,10000,77,770000,239000,2.75,2118000,2010
HI,9000,74,666000,246000,3.65,2431000,2011
HI,10000,75,750000,263000,4.15,3113000,2012
