state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AR,53000,65,3445000,1688000,0.59,2033000,1998
AR,52000,89,4628000,2592000,0.53,2453000,1999
AR,52000,93,4836000,3337000,0.57,2757000,2000
AR,50000,98,4900000,1617000,0.65,3185000,2001
AR,45000,88,3960000,871000,1.26,4990000,2002
AR,40000,75,3.00E+06,810000,1.26,3780000,2003
AR,40000,57,2280000,388000,0.87,1984000,2004
AR,36000,69,2484000,571000,0.97,2409000,2005
AR,32000,76,2432000,730000,0.89,2164000,2006
AR,28000,80,2240000,672000,0.95,2128000,2007
AR,28000,75,2100000,525000,1.35,2835000,2008
AR,24000,57,1368000,301000,1.42,1943000,2009
AR,25000,60,1500000,360000,1.47,2205000,2010
AR,22000,64,1408000,239000,1.62,2281000,2011
AR,25000,63,1575000,189000,1.98,3119000,2012
