state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
PA,26000,66,1716000,789000,0.8,1373000,1998
PA,28000,60,1680000,790000,0.76,1277000,1999
PA,25000,45,1125000,630000,0.76,855000,2000
PA,26000,57,1482000,785000,0.92,1363000,2001
PA,29000,57,1653000,827000,1.34,2215000,2002
PA,27000,50,1350000,419000,1.44,1944000,2003
PA,30000,54,1620000,810000,1.42,2300000,2004
PA,28000,56,1568000,8.00E+05,1.12,1756000,2005
PA,28000,40,1120000,605000,1.63,1826000,2006
PA,25000,42,1050000,326000,1.7,1785000,2007
PA,23000,48,1104000,276000,1.65,1822000,2008
PA,21000,40,840000,319000,2.03,1705000,2009
PA,30000,37,1110000,377000,2.13,2364000,2010
PA,24000,44,1056000,306000,2.55,2693000,2011
PA,16000,60,960000,269000,2.57,2467000,2012
