state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
MI,80000,85,6800000,3672000,0.66,4488000,1998
MI,73000,85,6205000,3475000,0.66,4095000,1999
MI,72000,75,5400000,2970000,0.6,3240000,2000
MI,76000,60,4560000,2827000,0.81,3694000,2001
MI,72000,77,5544000,1885000,1.4,7762000,2002
MI,65000,74,4810000,1732000,1.41,6782000,2003
MI,65000,67,4355000,2439000,1.16,5052000,2004
MI,65000,68,4420000,2519000,0.94,4155000,2005
MI,72000,55,3960000,2099000,1.15,4554000,2006
MI,72000,64,4608000,2350000,1.19,5484000,2007
MI,71000,73,5183000,2021000,1.44,7464000,2008
MI,66000,60,3960000,1505000,1.55,6138000,2009
MI,71000,58,4118000,1524000,1.67,6877000,2010
MI,74000,64,4736000,2084000,1.81,8572000,2011
MI,73000,57,4161000,1332000,2.03,8447000,2012
