state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
NC,8000,59,472000,151000,1.38,651000,1998
NC,9000,46,414000,104000,1.62,671000,1999
NC,11000,49,539000,243000,1.43,771000,2000
NC,13000,44,572000,172000,1.48,847000,2001
NC,16000,42,672000,74000,1.41,948000,2002
NC,10000,44,440000,79000,1.92,845000,2003
NC,9000,40,360000,72000,1.93,695000,2004
NC,10000,54,540000,146000,1.88,1015000,2005
NC,10000,50,5.00E+05,215000,1.57,785000,2006
NC,12000,45,540000,76000,2.49,1345000,2007
NC,12000,52,624000,137000,2.18,1360000,2008
NC,11000,45,495000,84000,2.57,1272000,2009
NC,13000,46,598000,144000,2.66,1591000,2010
NC,14000,62,868000,95000,2.83,2456000,2011
NC,13000,39,507000,106000,3.76,1906000,2012
