state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
MO,23000,66,1518000,455000,0.76,1154000,1998
MO,24000,65,1560000,437000,0.68,1061000,1999
MO,23000,75,1725000,362000,0.6,1035000,2000
MO,22000,61,1342000,336000,0.71,953000,2001
MO,18000,50,9.00E+05,189000,1.42,1278000,2002
MO,17000,53,901000,189000,1.41,1270000,2003
MO,16000,41,656000,151000,1.36,892000,2004
MO,15000,50,750000,180000,1.22,915000,2005
MO,15000,46,690000,117000,0.98,676000,2006
MO,14000,46,644000,148000,1.12,721000,2007
MO,11000,53,583000,152000,1.68,979000,2008
MO,11000,47,517000,57000,1.99,1029000,2009
MO,11000,52,572000,92000,1.8,1030000,2010
MO,8000,43,344000,76000,2.14,736000,2011
MO,7000,53,371000,108000,2.8,1039000,2012
