state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
OR,50000,45,2250000,1620000,0.9,2025000,1998
OR,45000,57,2565000,2026000,0.8,2052000,1999
OR,48000,51,2448000,1665000,0.66,1616000,2000
OR,44000,44,1936000,1200000,0.74,1433000,2001
OR,43000,49,2107000,885000,1.35,2844000,2002
OR,42000,51,2142000,964000,1.27,2720000,2003
OR,42000,54,2268000,1111000,1.21,2744000,2004
OR,39000,42,1638000,557000,1.08,1769000,2005
OR,46000,48,2208000,729000,1.05,2318000,2006
OR,46000,43,1978000,1088000,1.31,2591000,2007
OR,50000,43,2150000,1097000,1.41,3032000,2008
OR,55000,34,1870000,767000,1.54,2880000,2009
OR,59000,39,2301000,874000,1.63,3751000,2010
OR,60000,34,2040000,755000,1.68,3427000,2011
OR,60000,32,1920000,845000,2.16,4147000,2012
