state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
VT,6000,64,384000,207000,0.85,326000,1998
VT,6000,66,396000,222000,0.63,249000,1999
VT,7000,59,413000,211000,0.68,281000,2000
VT,7000,81,567000,249000,0.92,522000,2001
VT,7000,89,623000,274000,1.2,748000,2002
VT,7000,83,581000,163000,1.96,1139000,2003
VT,6000,68,408000,192000,1.51,616000,2004
VT,6000,91,546000,169000,1.12,612000,2005
VT,6000,56,336000,144000,1.2,403000,2006
VT,5000,64,320000,96000,1.7,544000,2007
VT,5000,66,330000,119000,2.2,726000,2008
VT,5000,49,245000,69000,2.01,492000,2009
VT,4000,65,260000,73000,3.1,806000,2010
VT,4000,43,172000,43000,2.31,397000,2011
VT,4000,60,240000,53000,2.39,574000,2012
