state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
UT,30000,58,1740000,557000,0.65,1131000,1998
UT,26000,45,1170000,433000,0.68,796000,1999
UT,24000,41,984000,462000,0.6,590000,2000
UT,23000,38,874000,315000,0.65,568000,2001
UT,22000,59,1298000,208000,1.3,1687000,2002
UT,25000,57,1425000,157000,1.28,1824000,2003
UT,24000,70,1680000,554000,1.1,1848000,2004
UT,24000,45,1080000,346000,0.95,1026000,2005
UT,26000,50,1300000,299000,0.98,1274000,2006
UT,28000,42,1176000,270000,1.13,1329000,2007
UT,28000,48,1344000,242000,1.57,2110000,2008
UT,26000,38,988000,198000,1.46,1442000,2009
UT,26000,30,780000,195000,1.53,1193000,2010
UT,23000,39,897000,170000,1.75,1570000,2011
UT,25000,38,950000,209000,1.87,1777000,2012
