state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
LA,41000,111,4551000,865000,0.59,2685000,1998
LA,48000,114,5472000,821000,0.49,2681000,1999
LA,43000,94,4042000,1334000,0.52,2102000,2000
LA,45000,106,4770000,572000,0.6,2862000,2001
LA,35000,124,4340000,347000,1.16,5034000,2002
LA,34000,90,3060000,275000,1.24,3794000,2003
LA,35000,98,3430000,240000,0.79,2710000,2004
LA,35000,97,3395000,611000,0.72,2444000,2005
LA,30000,90,2700000,675000,0.9,2430000,2006
LA,29000,89,2581000,413000,1.08,2787000,2007
LA,40000,77,3080000,493000,1.36,4189000,2008
LA,37000,103,3811000,610000,1.36,5183000,2009
LA,36000,80,2880000,288000,1.5,4320000,2010
LA,36000,77,2772000,471000,1.67,4629000,2011
LA,41000,86,3526000,141000,1.83,6453000,2012
