state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
KY,3000,50,150000,51000,1.4,210000,1998
KY,3000,50,150000,12000,1.24,186000,1999
KY,4000,48,192000,54000,1.35,259000,2000
KY,4000,78,312000,125000,1.41,440000,2001
KY,5000,54,270000,78000,1.63,440000,2002
KY,5000,48,240000,14000,1.67,401000,2003
KY,5000,56,280000,34000,1.96,549000,2004
KY,5000,50,250000,40000,2.08,520000,2005
KY,5000,56,280000,70000,2.19,613000,2006
KY,4000,61,244000,54000,2.12,517000,2007
KY,4000,39,156000,27000,2.44,381000,2008
KY,5000,35,175000,25000,2.71,474000,2009
KY,5000,67,335000,67000,2.72,911000,2010
KY,4000,39,156000,12000,3.17,495000,2011
KY,5000,51,255000,41000,3.15,803000,2012
