state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
NJ,11000,49,539000,167000,0.76,410000,1998
NJ,10000,44,440000,154000,0.57,251000,1999
NJ,11000,35,385000,2.00E+05,0.61,235000,2000
NJ,11000,34,374000,71000,0.85,318000,2001
NJ,11000,40,440000,92000,1,440000,2002
NJ,10000,19,190000,101000,1.6,304000,2003
NJ,12000,27,324000,45000,1.4,454000,2004
NJ,12000,32,384000,104000,1.2,461000,2005
NJ,9000,36,324000,152000,1.14,369000,2006
NJ,9000,57,513000,185000,1.96,1005000,2007
NJ,9000,40,360000,122000,1.62,583000,2008
NJ,11000,32,352000,70000,2.36,831000,2009
NJ,13000,35,455000,73000,1.9,865000,2010
NJ,11000,41,451000,135000,3.7,1669000,2011
NJ,14000,33,462000,51000,1.97,910000,2012
