state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
CA,450000,83,37350000,12326000,0.62,23157000,1998
CA,465000,60,27900000,9486000,0.55,15345000,1999
CA,440000,70,30800000,11396000,0.59,18172000,2000
CA,460000,61,28060000,7857000,0.69,19361000,2001
CA,470000,50,23500000,3525000,1.32,31020000,2002
CA,480000,67,32160000,6432000,1.39,44702000,2003
CA,390000,45,17550000,5792000,1.05,18428000,2004
CA,4.00E+05,75,3.00E+07,9300000,0.86,25800000,2005
CA,380000,52,19760000,7706000,0.97,19167000,2006
CA,340000,40,13600000,3672000,1.04,14144000,2007
CA,360000,51,18360000,4039000,1.39,25520000,2008
CA,355000,33,11715000,2109000,1.39,16284000,2009
CA,410000,67,27470000,6318000,1.55,42579000,2010
CA,370000,48,17760000,3730000,1.65,29304000,2011
CA,330000,35,11550000,3119000,1.94,22407000,2012
