state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
WA,58000,51,2958000,1361000,0.64,1893000,1998
WA,52000,50,2600000,1170000,0.6,1560000,1999
WA,52000,54,2808000,1151000,0.58,1629000,2000
WA,48000,52,2496000,1048000,0.72,1797000,2001
WA,50000,51,2550000,561000,1.27,3239000,2002
WA,58000,56,3248000,942000,1.46,4742000,2003
WA,56000,63,3528000,1376000,0.98,3457000,2004
WA,51000,55,2805000,1935000,1.01,2833000,2005
WA,49000,52,2548000,1605000,1.24,3160000,2006
WA,46000,44,2024000,648000,1.25,2530000,2007
WA,49000,44,2156000,862000,1.51,3256000,2008
WA,62000,44,2728000,1064000,1.58,4310000,2009
WA,71000,37,2627000,1077000,1.57,4124000,2010
WA,71000,38,2698000,836000,1.93,5207000,2011
WA,62000,41,2542000,1017000,2.38,6050000,2012
