state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
IL,9000,71,639000,204000,1.19,760000,1998
IL,9000,66,594000,327000,1.15,683000,1999
IL,8000,61,488000,146000,1.17,571000,2000
IL,6000,76,456000,251000,1.58,720000,2001
IL,9000,80,720000,130000,1.47,1058000,2002
IL,7000,60,420000,252000,1.83,769000,2003
IL,7000,55,385000,193000,1.86,716000,2004
IL,8000,85,680000,408000,1.84,1251000,2005
IL,10000,66,660000,356000,2.14,1412000,2006
IL,9000,63,567000,374000,2.49,1412000,2007
IL,8000,56,448000,116000,2.59,1160000,2008
IL,8000,34,272000,57000,2.55,694000,2009
IL,9000,41,369000,92000,2.78,1026000,2010
IL,7000,50,350000,98000,3.9,1365000,2011
IL,7000,61,427000,145000,3.55,1516000,2012
