state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
MN,140000,79,11060000,2765000,0.65,7189000,1998
MN,145000,82,11890000,3210000,0.61,7253000,1999
MN,150000,90,13500000,3105000,0.57,7695000,2000
MN,135000,81,10935000,1859000,0.65,7108000,2001
MN,117000,73,8541000,1110000,1.47,12555000,2002
MN,120000,83,9960000,1892000,1.44,14342000,2003
MN,135000,75,10125000,1924000,1.08,10935000,2004
MN,120000,74,8880000,1598000,0.9,7992000,2005
MN,125000,80,1.00E+07,3300000,0.94,9400000,2006
MN,130000,68,8840000,2564000,1.04,9194000,2007
MN,122000,78,9516000,2569000,1.39,13227000,2008
MN,122000,65,7930000,1427000,1.44,11419000,2009
MN,128000,66,8448000,1774000,1.55,13094000,2010
MN,120000,53,6360000,2099000,1.63,10367000,2011
MN,125000,67,8375000,1591000,1.92,16080000,2012
