state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
ND,230000,128,29440000,8832000,0.63,18547000,1998
ND,255000,105,26775000,8836000,0.59,15797000,1999
ND,3.00E+05,115,34500000,13800000,0.57,19665000,2000
ND,280000,96,26880000,9408000,0.69,18547000,2001
ND,320000,75,2.40E+07,8160000,1.46,35040000,2002
ND,340000,87,29580000,6803000,1.36,40229000,2003
ND,390000,78,30420000,9126000,1.05,31941000,2004
ND,370000,91,33670000,8418000,0.83,27946000,2005
ND,350000,74,25900000,7770000,0.91,23569000,2006
ND,420000,74,31080000,9013000,0.96,29837000,2007
ND,4.00E+05,90,3.60E+07,8640000,1.36,48960000,2008
ND,450000,77,34650000,7623000,1.38,47817000,2009
ND,510000,91,46410000,12995000,1.5,69615000,2010
ND,460000,71,32660000,7512000,1.67,54542000,2011
ND,480000,69,33120000,5962000,1.92,63590000,2012
