state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
NM,14000,55,770000,470000,0.76,585000,1998
NM,15000,52,780000,476000,0.77,601000,1999
NM,15000,64,960000,739000,0.72,691000,2000
NM,10000,70,7.00E+05,350000,0.66,462000,2001
NM,11000,44,484000,252000,1.1,532000,2002
NM,6000,41,246000,108000,1.2,295000,2003
NM,8000,44,352000,127000,1.19,419000,2004
NM,7000,49,343000,113000,1.03,353000,2005
NM,7000,48,336000,104000,1.19,4.00E+05,2006
NM,6000,59,354000,138000,1.42,503000,2007
NM,6000,48,288000,95000,1.48,426000,2008
NM,7000,60,420000,143000,1.59,668000,2009
NM,7000,66,462000,157000,1.58,730000,2010
NM,7000,56,392000,153000,1.69,662000,2011
NM,5000,52,260000,99000,3.39,881000,2012
