state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
KS,16000,46,736000,390000,0.87,640000,1998
KS,13000,67,871000,854000,1.11,967000,1999
KS,15000,68,1020000,520000,0.91,928000,2000
KS,13000,51,663000,530000,0.96,636000,2001
KS,17000,52,884000,407000,1.5,1326000,2002
KS,16000,57,912000,447000,1.41,1286000,2003
KS,14000,80,1120000,683000,1.18,1322000,2004
KS,16000,50,8.00E+05,328000,1.05,840000,2005
KS,14000,55,770000,246000,1.17,901000,2006
KS,14000,40,560000,196000,1.18,661000,2007
KS,10000,61,610000,128000,1.55,946000,2008
KS,9000,63,567000,164000,1.85,1049000,2009
KS,9000,52,468000,103000,2.02,945000,2010
KS,7000,44,308000,117000,2.15,662000,2011
KS,6000,55,330000,125000,2.28,752000,2012
