state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
WV,6000,55,330000,155000,1.14,376000,1998
WV,6000,39,234000,152000,1.09,255000,1999
WV,7000,54,378000,234000,1.22,461000,2000
WV,7000,65,455000,410000,1.42,646000,2001
WV,9000,51,459000,151000,1.32,606000,2002
WV,8000,47,376000,194000,1.89,711000,2003
WV,9000,55,495000,183000,1.41,698000,2004
WV,8000,51,408000,102000,1.29,526000,2005
WV,6000,42,252000,68000,2.02,509000,2006
WV,6000,48,288000,95000,2.09,602000,2007
WV,6000,43,258000,49000,2.16,557000,2008
WV,5000,37,185000,33000,2.6,481000,2009
WV,5000,40,2.00E+05,40000,2.39,478000,2010
WV,4000,53,212000,45000,2.57,545000,2011
WV,6000,48,288000,95000,2.91,838000,2012
