state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
CO,27000,72,1944000,1594000,0.7,1361000,1998
CO,27000,76,2052000,1436000,0.68,1395000,1999
CO,29000,60,1740000,957000,0.62,1079000,2000
CO,26000,55,1430000,529000,0.71,1015000,2001
CO,24000,60,1440000,576000,1.29,1858000,2002
CO,24000,86,2064000,722000,1.4,2890000,2003
CO,23000,80,1840000,791000,1.35,2484000,2004
CO,28000,70,1960000,902000,0.97,1901000,2005
CO,36000,75,2700000,1458000,1.04,2808000,2006
CO,31000,51,1581000,838000,1.15,1818000,2007
CO,27000,45,1215000,656000,1.51,1835000,2008
CO,28000,53,1484000,326000,1.43,2122000,2009
CO,34000,56,1904000,533000,1.52,2894000,2010
CO,31000,55,1705000,443000,2,3410000,2011
CO,25000,48,1200000,468000,2.07,2484000,2012
