state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
SD,225000,95,21375000,10901000,0.64,13680000,1998
SD,224000,104,23296000,13046000,0.6,13978000,1999
SD,235000,121,28435000,12796000,0.58,16492000,2000
SD,235000,65,15275000,12220000,0.71,10845000,2001
SD,225000,51,11475000,2410000,1.42,16295000,2002
SD,215000,70,15050000,2709000,1.43,21522000,2003
SD,215000,105,22575000,13545000,1.01,22801000,2004
SD,220000,79,17380000,11818000,0.83,14425000,2005
SD,225000,47,10575000,10575000,0.94,9941000,2006
SD,255000,52,13260000,10608000,1.02,13525000,2007
SD,225000,95,21375000,11970000,1.34,28643000,2008
SD,270000,66,17820000,6237000,1.42,25304000,2009
SD,265000,58,15370000,4765000,1.51,23209000,2010
SD,250000,66,16500000,4290000,1.7,28050000,2011
SD,260000,63,16380000,3604000,1.95,31941000,2012
