state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
IN,9000,92,828000,489000,0.85,704000,1998
IN,10000,81,810000,437000,0.9,729000,1999
IN,8000,65,520000,286000,1.03,536000,2000
IN,7000,76,532000,186000,0.92,489000,2001
IN,8000,62,496000,233000,1.19,590000,2002
IN,5000,56,280000,78000,1.66,465000,2003
IN,7000,59,413000,145000,1.47,607000,2004
IN,8000,64,512000,189000,1.18,604000,2005
IN,7000,54,378000,125000,1.58,597000,2006
IN,8000,53,424000,119000,1.5,636000,2007
IN,7000,67,469000,150000,1.68,788000,2008
IN,9000,32,288000,101000,2.02,582000,2009
IN,10000,43,430000,151000,2.23,959000,2010
IN,8000,51,408000,147000,2.14,873000,2011
IN,8000,59,472000,203000,2.54,1199000,2012
