state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
WY,46000,60,2760000,524000,0.68,1877000,1998
WY,37000,72,2664000,746000,0.61,1625000,1999
WY,39000,93,3627000,798000,0.59,2140000,2000
WY,38000,77,2926000,468000,0.65,1902000,2001
WY,38000,63,2394000,383000,1.33,3184000,2002
WY,39000,81,3159000,474000,1.41,4454000,2003
WY,39000,75,2925000,380000,1.1,3218000,2004
WY,40000,56,2240000,291000,0.89,1994000,2005
WY,39000,85,3315000,497000,0.98,3249000,2006
WY,43000,80,3440000,894000,1,3440000,2007
WY,39000,61,2379000,381000,1.37,3259000,2008
WY,37000,48,1776000,391000,1.43,2540000,2009
WY,34000,36,1224000,282000,1.59,1946000,2010
WY,35000,54,1890000,265000,1.72,3251000,2011
WY,50000,51,2550000,459000,1.87,4769000,2012
