state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
WI,89000,91,8099000,5264000,0.72,5831000,1998
WI,80000,75,6.00E+06,4560000,0.68,4080000,1999
WI,84000,90,7560000,4385000,0.68,5141000,2000
WI,67000,81,5427000,3419000,0.82,4450000,2001
WI,70000,95,6650000,2461000,1.34,8911000,2002
WI,74000,77,5698000,2678000,1.47,8376000,2003
WI,68000,86,5848000,2632000,1.19,6959000,2004
WI,64000,83,5312000,2922000,1.14,6056000,2005
WI,64000,93,5952000,2500000,1.12,6666000,2006
WI,60000,84,5040000,3024000,1.22,6149000,2007
WI,58000,80,4640000,2366000,1.5,6960000,2008
WI,63000,60,3780000,1588000,1.58,5972000,2009
WI,64000,64,4096000,1556000,1.68,6881000,2010
WI,57000,63,3591000,1508000,1.89,6787000,2011
WI,60000,69,4140000,1863000,2.05,8487000,2012
