state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
IA,50000,78,3900000,2301000,0.7,2730000,1998
IA,40000,65,2600000,2028000,0.65,1690000,1999
IA,30000,67,2010000,1206000,0.68,1367000,2000
IA,33000,51,1683000,875000,0.75,1262000,2001
IA,33000,70,2310000,901000,1.43,3303000,2002
IA,32000,59,1888000,868000,1.42,2681000,2003
IA,35000,67,2345000,1337000,1.06,2486000,2004
IA,28000,88,2464000,1232000,1.21,2981000,2005
IA,26000,84,2184000,1441000,1.37,2992000,2006
IA,26000,81,2106000,1221000,1.31,2759000,2007
IA,24000,62,1488000,580000,1.58,2351000,2008
IA,26000,42,1092000,339000,1.6,1747000,2009
IA,27000,49,1323000,463000,1.92,2540000,2010
IA,25000,62,1550000,961000,1.96,3038000,2011
IA,37000,61,2257000,1196000,2.17,4898000,2012
