state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
MT,115000,122,14030000,5472000,0.64,8979000,1998
MT,122000,70,8540000,2135000,0.6,5124000,1999
MT,124000,88,10912000,4692000,0.59,6438000,2000
MT,136000,102,13872000,4578000,0.67,9294000,2001
MT,134000,63,8442000,1097000,1.38,11650000,2002
MT,145000,66,9570000,1914000,1.44,13781000,2003
MT,140000,77,10780000,3773000,1.08,11642000,2004
MT,130000,67,8710000,3136000,0.86,7491000,2005
MT,132000,79,10428000,1981000,0.95,9907000,2006
MT,135000,68,9180000,2479000,0.99,9088000,2007
MT,134000,70,9380000,4596000,1.37,12851000,2008
MT,146000,70,10220000,3577000,1.46,14921000,2009
MT,157000,74,11618000,2905000,1.58,18356000,2010
MT,145000,92,13340000,3202000,1.7,22678000,2011
MT,145000,52,7540000,2413000,1.95,14703000,2012
