state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
ME,10000,26,260000,117000,0.69,179000,1998
ME,14000,22,308000,89000,0.83,256000,1999
ME,11000,21,231000,143000,0.75,173000,2000
ME,11000,20,220000,106000,0.79,174000,2001
ME,11000,41,451000,266000,1.21,546000,2002
ME,8000,33,264000,145000,1.41,372000,2003
ME,7000,31,217000,37000,1.28,278000,2004
ME,8000,26,208000,193000,1.66,345000,2005
ME,11000,23,253000,86000,1.6,405000,2006
ME,9000,26,234000,59000,1.32,309000,2007
ME,7000,42,294000,79000,1.57,462000,2008
ME,6000,50,3.00E+05,51000,1.95,585000,2009
ME,5000,41,205000,33000,2.05,420000,2010
ME,4000,30,120000,17000,1.98,238000,2011
ME,4000,34,136000,24000,2.39,325000,2012
