state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AL,16000,71,1136000,159000,0.72,818000,1998
AL,17000,68,1156000,185000,0.56,647000,1999
AL,16000,78,1248000,187000,0.59,736000,2000
AL,14000,73,1022000,235000,0.72,736000,2001
AL,12000,86,1032000,103000,1.18,1218000,2002
AL,13000,82,1066000,43000,1.24,1322000,2003
AL,12000,87,1044000,282000,1.41,1472000,2004
AL,13000,66,858000,266000,1.02,875000,2005
AL,11000,72,792000,230000,1.21,958000,2006
AL,11000,56,616000,209000,1.49,918000,2007
AL,9000,66,594000,214000,1.9,1129000,2008
AL,9000,50,450000,68000,1.86,837000,2009
AL,9000,54,486000,73000,2.4,1166000,2010
AL,9000,50,450000,63000,2.51,1130000,2011
AL,8000,54,432000,65000,2.47,1067000,2012
